dataset;method;cls;nr_events;metric;score
bpic2015_1;state_laststate;svm;24;rec;0.5625
bpic2015_1;state_laststate;svm;24;fscore;0.6545454545454547
bpic2015_1;state_laststate;svm;25;auc;0.8362068965517242
bpic2015_1;state_laststate;svm;25;prec;0.7058823529411765
bpic2015_1;state_laststate;svm;25;rec;0.375
bpic2015_1;state_laststate;svm;25;fscore;0.4897959183673469
bpic2015_1;state_laststate;svm;26;auc;0.7584396099024757
bpic2015_1;state_laststate;svm;26;prec;0.6666666666666666
bpic2015_1;state_laststate;svm;26;rec;0.3225806451612903
bpic2015_1;state_laststate;svm;26;fscore;0.4347826086956521
bpic2015_1;state_laststate;svm;27;auc;0.7041090629800307
bpic2015_1;state_laststate;svm;27;prec;0.6875
bpic2015_1;state_laststate;svm;27;rec;0.3548387096774194
bpic2015_1;state_laststate;svm;27;fscore;0.4680851063829787
bpic2015_1;state_laststate;svm;28;auc;0.6317528177225029
bpic2015_1;state_laststate;svm;28;prec;0.6666666666666666
bpic2015_1;state_laststate;svm;28;rec;0.3225806451612903
bpic2015_1;state_laststate;svm;28;fscore;0.4347826086956521
bpic2015_1;state_laststate;svm;29;auc;0.5812281383598912
bpic2015_1;state_laststate;svm;29;prec;0.6875
bpic2015_1;state_laststate;svm;29;rec;0.3548387096774194
bpic2015_1;state_laststate;svm;29;fscore;0.4680851063829787
bpic2015_1;state_laststate;svm;30;auc;0.4683249125534396
bpic2015_1;state_laststate;svm;30;prec;0.6428571428571429
bpic2015_1;state_laststate;svm;30;rec;0.2903225806451613
bpic2015_1;state_laststate;svm;30;fscore;0.4
bpic2015_1;state_laststate;svm;31;auc;0.4702989771833202
bpic2015_1;state_laststate;svm;31;prec;0.6666666666666666
bpic2015_1;state_laststate;svm;31;rec;0.25806451612903225
bpic2015_1;state_laststate;svm;31;fscore;0.372093023255814
bpic2015_1;state_laststate;svm;32;auc;0.4620967741935484
bpic2015_1;state_laststate;svm;32;prec;0.7142857142857143
bpic2015_1;state_laststate;svm;32;rec;0.3225806451612903
bpic2015_1;state_laststate;svm;32;fscore;0.4444444444444444
bpic2015_1;state_laststate;svm;33;auc;0.4997835497835497
bpic2015_1;state_laststate;svm;33;prec;0.75
bpic2015_1;state_laststate;svm;33;rec;0.3
bpic2015_1;state_laststate;svm;33;fscore;0.4285714285714285
bpic2015_1;state_laststate;svm;34;auc;0.4524582560296846
bpic2015_1;state_laststate;svm;34;prec;0.8
bpic2015_1;state_laststate;svm;34;rec;0.2857142857142857
bpic2015_1;state_laststate;svm;34;fscore;0.4210526315789473
bpic2015_1;state_laststate;svm;35;auc;0.38230994152046777
bpic2015_1;state_laststate;svm;35;prec;1.0
bpic2015_1;state_laststate;svm;35;rec;0.2962962962962963
bpic2015_1;state_laststate;svm;35;fscore;0.4571428571428571
bpic2015_1;state_laststate;svm;36;auc;0.32970647773279355
bpic2015_1;state_laststate;svm;36;prec;0.8333333333333334
bpic2015_1;state_laststate;svm;36;rec;0.19230769230769232
bpic2015_1;state_laststate;svm;36;fscore;0.3125
bpic2015_1;state_laststate;svm;37;auc;0.4323684210526316
bpic2015_1;state_laststate;svm;37;prec;0.8333333333333334
bpic2015_1;state_laststate;svm;37;rec;0.2
bpic2015_1;state_laststate;svm;37;fscore;0.3225806451612903
bpic2015_1;state_laststate;svm;38;auc;0.5308333333333333
bpic2015_1;state_laststate;svm;38;prec;0.8571428571428571
bpic2015_1;state_laststate;svm;38;rec;0.25
bpic2015_1;state_laststate;svm;38;fscore;0.3870967741935483
bpic2015_1;state_laststate;svm;39;auc;0.356231884057971
bpic2015_1;state_laststate;svm;39;prec;1.0
bpic2015_1;state_laststate;svm;39;rec;0.17391304347826084
bpic2015_1;state_laststate;svm;39;fscore;0.29629629629629634
bpic2015_1;state_laststate;svm;40;auc;0.4747826086956522
bpic2015_1;state_laststate;svm;40;prec;0.8
bpic2015_1;state_laststate;svm;40;rec;0.3478260869565217
bpic2015_1;state_laststate;svm;40;fscore;0.4848484848484849
bpic2015_1;state_laststate;svm;-1;auc;0.6166246841271201
bpic2015_1;state_laststate;svm;-1;fscore;0.35681376565774703
bpic2015_5;state_agg;rf;1;auc;0.6746503496503496
bpic2015_5;state_agg;rf;1;prec;0.4426229508196721
bpic2015_5;state_agg;rf;1;rec;0.4909090909090909
bpic2015_5;state_agg;rf;1;fscore;0.4655172413793103
bpic2015_5;state_agg;rf;-1;auc;0.6746503496503496
bpic2015_5;state_agg;rf;-1;fscore;0.7108796452066689
bpic2015_2;prefix_index;logit;1;auc;0.6867692307692307
bpic2015_2;prefix_index;logit;1;prec;0.0
bpic2015_2;prefix_index;logit;1;rec;0.0
bpic2015_2;prefix_index;logit;1;fscore;0.0
bpic2015_2;prefix_index;logit;-1;auc;0.6867692307692307
bpic2015_2;prefix_index;logit;-1;fscore;0.7465382299819385
bpic2011_4;state_laststate;catboost;1;auc;0.9057473122625496
bpic2011_4;state_laststate;catboost;1;prec;0.7217391304347827
bpic2011_4;state_laststate;catboost;1;rec;0.9325842696629212
bpic2011_4;state_laststate;catboost;1;fscore;0.8137254901960784
bpic2011_4;state_laststate;catboost;-1;auc;0.9057473122625496
bpic2011_4;state_laststate;catboost;-1;fscore;0.8353563647681295
sepsis_1;cluster_laststate;rf;1;auc;0.3694444444444444
sepsis_1;cluster_laststate;rf;1;prec;0.0
sepsis_1;cluster_laststate;rf;1;rec;0.0
sepsis_1;cluster_laststate;rf;1;fscore;0.0
sepsis_1;cluster_laststate;rf;2;auc;0.3557870370370371
sepsis_1;cluster_laststate;rf;2;prec;0.0
sepsis_1;cluster_laststate;rf;2;rec;0.0
sepsis_1;cluster_laststate;rf;2;fscore;0.0
sepsis_1;cluster_laststate;rf;3;auc;0.35763888888888884
sepsis_1;cluster_laststate;rf;3;prec;0.0
sepsis_1;cluster_laststate;rf;3;rec;0.0
sepsis_1;cluster_laststate;rf;3;fscore;0.0
sepsis_1;cluster_laststate;rf;4;auc;0.36921296296296297
sepsis_1;cluster_laststate;rf;4;prec;0.0
sepsis_1;cluster_laststate;rf;4;rec;0.0
sepsis_1;cluster_laststate;rf;4;fscore;0.0
sepsis_1;cluster_laststate;rf;5;auc;0.3513888888888889
sepsis_1;cluster_laststate;rf;5;prec;0.0
sepsis_1;cluster_laststate;rf;5;rec;0.0
sepsis_1;cluster_laststate;rf;5;fscore;0.0
