dataset;method;score
bpic2012_cancelled;cluster_laststate_rf;0.867080494275849
bpic2012_cancelled;cluster_laststate_svm;0.0
bpic2012_cancelled;cluster_laststate_xgboost;0.8697783488235608
bpic2012_cancelled;prefix_agg_catboost;0.8684730554557264
bpic2012_cancelled;prefix_agg_logit;0.7926274758902114
bpic2012_cancelled;prefix_agg_rf;0.8455868063753462
bpic2012_cancelled;prefix_agg_svm;0.0
bpic2012_cancelled;prefix_agg_xgboost;0.8700211371247248
bpic2012_cancelled;prefix_index_catboost;0.8981818181818182
bpic2012_cancelled;prefix_index_logit;0.8580542264752792
bpic2012_cancelled;prefix_index_rf;0.8855534709193245
bpic2012_cancelled;prefix_index_svm;0.0
bpic2012_cancelled;prefix_index_xgboost;0.8970588235294118
bpic2012_cancelled;prefix_laststate_catboost;0.8683377788917499
bpic2012_cancelled;prefix_laststate_logit;0.7932670862377192
bpic2012_cancelled;prefix_laststate_rf;0.866198357494874
bpic2012_cancelled;prefix_laststate_svm;0.0
bpic2012_cancelled;prefix_laststate_xgboost;0.8717540793876397
bpic2012_cancelled;single_agg_catboost;0.8736058718024516
bpic2012_cancelled;single_agg_logit;0.7907465403361128
bpic2012_cancelled;single_agg_rf;0.88748620858611
bpic2012_cancelled;single_agg_svm;0.0017650613495630528
bpic2012_cancelled;single_agg_xgboost;0.8854139213298076
bpic2012_cancelled;single_laststate_catboost;0.8798861334756951
bpic2012_cancelled;single_laststate_logit;0.7925922861585276
bpic2012_cancelled;single_laststate_rf;0.8775143086445214
bpic2012_cancelled;single_laststate_svm;0.0
bpic2012_cancelled;single_laststate_xgboost;0.8729410163981919
bpic2012_cancelled;state_agg_catboost;0.8716870677165531
bpic2012_cancelled;state_agg_logit;0.8241936455796011
bpic2012_cancelled;state_agg_rf;0.8653014419679707
bpic2012_cancelled;state_agg_svm;0.08054852295433622
bpic2012_cancelled;state_agg_xgboost;0.8787568438007344
bpic2012_cancelled;state_laststate_catboost;0.8795903015860268
bpic2012_cancelled;state_laststate_logit;0.8203081625279185
bpic2012_cancelled;state_laststate_rf;0.8903919716072365
bpic2012_cancelled;state_laststate_svm;0.13103309541098732
bpic2012_cancelled;state_laststate_xgboost;0.8758952856240383
bpic2012_declined;cluster_agg_catboost;0.28783270896979285
bpic2012_declined;cluster_agg_logit;0.0016380743252482415
bpic2012_declined;cluster_agg_rf;0.2832598561670381
bpic2012_declined;cluster_agg_svm;0.0
bpic2012_declined;cluster_agg_xgboost;0.21536924651301145
bpic2012_declined;cluster_laststate_catboost;0.2994514965287465
bpic2012_declined;cluster_laststate_logit;0.012919539427799972
bpic2012_declined;cluster_laststate_rf;0.2705797226231618
bpic2012_declined;cluster_laststate_svm;0.0
bpic2012_declined;cluster_laststate_xgboost;0.22770756174480417
bpic2012_declined;prefix_agg_catboost;0.19783292620543572
bpic2012_declined;prefix_agg_logit;0.0009810542480667955
bpic2012_declined;prefix_agg_rf;0.2747772607710822
bpic2012_declined;prefix_agg_svm;0.00879116211296477
bpic2012_declined;prefix_agg_xgboost;0.22780785038382656
bpic2012_declined;prefix_index_logit;0.0
bpic2012_declined;prefix_index_rf;0.2316602316602317
bpic2012_declined;prefix_index_svm;0.0
bpic2012_declined;prefix_index_xgboost;0.2473498233215548
bpic2012_declined;prefix_laststate_logit;0.0004042028150222155
bpic2012_declined;prefix_laststate_rf;0.23304400989953356
bpic2012_declined;prefix_laststate_svm;0.0
bpic2012_declined;prefix_laststate_xgboost;0.2280210791044547
bpic2012_declined;single_agg_catboost;0.24751429853989176
bpic2012_declined;single_agg_logit;0.006932895390708743
bpic2012_declined;single_agg_rf;0.27357824386874674
bpic2012_declined;single_agg_svm;0.0
bpic2012_declined;single_agg_xgboost;0.2645213557011021
bpic2012_declined;single_laststate_logit;0.011055474389145262
bpic2012_declined;single_laststate_rf;0.2494807196553511
bpic2012_declined;single_laststate_svm;0.08302706661656867
bpic2012_declined;single_laststate_xgboost;0.24151226029657588
bpic2012_declined;state_agg_catboost;0.2860358547239099
bpic2012_declined;state_agg_logit;0.09625753793792315
bpic2012_declined;state_agg_rf;0.21259779641710877
bpic2012_declined;state_agg_svm;0.10385939204868491
bpic2012_declined;state_agg_xgboost;0.29118839631014765
bpic2012_declined;state_laststate_logit;0.09026716204839719
bpic2012_declined;state_laststate_rf;0.1771373495787999
bpic2012_declined;state_laststate_svm;0.08981247848076365
bpic2012_declined;state_laststate_xgboost;0.2843395255466698
bpic2015_1_f2;cluster_agg_catboost;0.5581676327068056
bpic2015_1_f2;cluster_agg_logit;0.12348072137333893
bpic2015_1_f2;cluster_agg_rf;0.6669398473475523
bpic2015_1_f2;cluster_agg_svm;0.0
bpic2015_1_f2;cluster_agg_xgboost;0.5969540183374262
bpic2015_1_f2;cluster_laststate_catboost;0.38049452180521526
bpic2015_1_f2;cluster_laststate_logit;0.31182777761793146
bpic2015_1_f2;cluster_laststate_rf;0.42836049925768876
bpic2015_1_f2;cluster_laststate_svm;0.0
bpic2015_1_f2;cluster_laststate_xgboost;0.3161583512379846
bpic2015_1_f2;prefix_agg_catboost;0.3839660193446274
bpic2015_1_f2;prefix_agg_logit;0.20015536903365924
bpic2015_1_f2;prefix_agg_rf;0.625791345529878
bpic2015_1_f2;prefix_agg_svm;0.0
bpic2015_1_f2;prefix_agg_xgboost;0.6241195229133085
bpic2015_1_f2;prefix_index_catboost;0.15000000000000002
bpic2015_1_f2;prefix_index_logit;0.05882352941176471
bpic2015_1_f2;prefix_index_rf;0.16216216216216214
bpic2015_1_f2;prefix_index_svm;0.0
bpic2015_1_f2;prefix_index_xgboost;0.24489795918367346
bpic2015_1_f2;prefix_laststate_catboost;0.35730628365080014
bpic2015_1_f2;prefix_laststate_logit;0.22909861293706402
bpic2015_1_f2;prefix_laststate_rf;0.3984650533682203
bpic2015_1_f2;prefix_laststate_svm;0.0
bpic2015_1_f2;prefix_laststate_xgboost;0.4080772500754997
bpic2015_1_f2;single_agg_catboost;0.34477474860807106
bpic2015_1_f2;single_agg_logit;0.12178999183827385
bpic2015_1_f2;single_agg_rf;0.6392976267204192
bpic2015_1_f2;single_agg_svm;0.0
bpic2015_1_f2;single_agg_xgboost;0.6551119587136548
bpic2015_1_f2;single_laststate_catboost;0.5016484232567611
bpic2015_1_f2;single_laststate_logit;0.18995658596947002
bpic2015_1_f2;single_laststate_rf;0.4900775176994791
bpic2015_1_f2;single_laststate_svm;0.0
bpic2015_1_f2;single_laststate_xgboost;0.3829120636495549
bpic2015_1_f2;state_agg_catboost;0.4351702407802716
bpic2015_1_f2;state_agg_logit;0.39927456315725257
bpic2015_1_f2;state_agg_rf;0.6041895317308011
bpic2015_1_f2;state_agg_svm;0.3227520596552417
bpic2015_1_f2;state_agg_xgboost;0.5802567664242197
bpic2015_1_f2;state_laststate_catboost;0.45707936091790574
bpic2015_1_f2;state_laststate_logit;0.3544620670737725
bpic2015_1_f2;state_laststate_rf;0.5066699394555559
bpic2015_1_f2;state_laststate_svm;0.33524921945500386
bpic2015_1_f2;state_laststate_xgboost;0.46719449006901026
bpic2015_2_f2;cluster_agg_catboost;0.6666666666666666
bpic2015_2_f2;cluster_agg_logit;0.2857142857142857
bpic2015_2_f2;cluster_agg_rf;0.9523809523809524
bpic2015_2_f2;cluster_agg_svm;0.4615384615384616
bpic2015_2_f2;cluster_agg_xgboost;0.6666666666666665
bpic2015_2_f2;cluster_laststate_catboost;0.23076923076923078
bpic2015_2_f2;cluster_laststate_logit;0.3902439024390244
bpic2015_2_f2;cluster_laststate_rf;0.4
bpic2015_2_f2;cluster_laststate_svm;0.0
bpic2015_2_f2;cluster_laststate_xgboost;0.45714285714285724
bpic2015_2_f2;prefix_agg_catboost;0.4666666666666667
bpic2015_2_f2;prefix_agg_logit;0.08695652173913045
bpic2015_2_f2;prefix_agg_rf;0.9767441860465117
bpic2015_2_f2;prefix_agg_svm;0.0
bpic2015_2_f2;prefix_agg_xgboost;0.9767441860465117
bpic2015_2_f2;prefix_index_catboost;0.5416666666666667
bpic2015_2_f2;prefix_index_logit;0.0
bpic2015_2_f2;prefix_index_rf;0.4864864864864865
bpic2015_2_f2;prefix_index_svm;0.4262295081967213
bpic2015_2_f2;prefix_index_xgboost;0.2
bpic2015_2_f2;prefix_laststate_catboost;0.3076923076923077
bpic2015_2_f2;prefix_laststate_logit;0.0
bpic2015_2_f2;prefix_laststate_rf;0.24000000000000002
bpic2015_2_f2;prefix_laststate_svm;0.0
bpic2015_2_f2;prefix_laststate_xgboost;0.5000000000000001
bpic2015_2_f2;single_agg_catboost;0.6060606060606061
bpic2015_2_f2;single_agg_logit;0.08695652173913045
bpic2015_2_f2;single_agg_rf;1.0
bpic2015_2_f2;single_agg_svm;0.0
bpic2015_2_f2;single_agg_xgboost;0.9767441860465117
bpic2015_2_f2;single_laststate_catboost;0.3870967741935484
bpic2015_2_f2;single_laststate_logit;0.0
bpic2015_2_f2;single_laststate_rf;0.24000000000000002
bpic2015_2_f2;single_laststate_svm;0.0
bpic2015_2_f2;single_laststate_xgboost;0.6666666666666665
bpic2015_2_f2;state_agg_catboost;0.3225806451612903
bpic2015_2_f2;state_agg_logit;0.4117647058823529
bpic2015_2_f2;state_agg_rf;0.4
bpic2015_2_f2;state_agg_svm;0.2962962962962963
bpic2015_2_f2;state_agg_xgboost;0.3448275862068965
bpic2015_2_f2;state_laststate_catboost;0.3333333333333333
bpic2015_2_f2;state_laststate_logit;0.375
bpic2015_2_f2;state_laststate_rf;0.3870967741935484
bpic2015_2_f2;state_laststate_svm;0.2962962962962963
bpic2015_2_f2;state_laststate_xgboost;0.30769230769230765
bpic2015_3_f2;cluster_agg_catboost;0.19780219780219785
bpic2015_3_f2;cluster_agg_logit;0.028985507246376805
bpic2015_3_f2;cluster_agg_rf;0.0821917808219178
bpic2015_3_f2;cluster_agg_svm;0.0
bpic2015_3_f2;cluster_agg_xgboost;0.25742574257425743
bpic2015_3_f2;cluster_laststate_catboost;0.2727272727272728
bpic2015_3_f2;cluster_laststate_logit;0.19753086419753085
bpic2015_3_f2;cluster_laststate_rf;0.2795698924731183
bpic2015_3_f2;cluster_laststate_svm;0.0
bpic2015_3_f2;cluster_laststate_xgboost;0.31683168316831684
bpic2015_3_f2;prefix_agg_catboost;0.206896551724138
bpic2015_3_f2;prefix_agg_logit;0.0
bpic2015_3_f2;prefix_agg_rf;0.13333333333333333
bpic2015_3_f2;prefix_agg_svm;0.0
bpic2015_3_f2;prefix_agg_xgboost;0.2391304347826087
bpic2015_3_f2;prefix_index_catboost;0.2272727272727273
bpic2015_3_f2;prefix_index_logit;0.028985507246376805
bpic2015_3_f2;prefix_index_rf;0.21686746987951808
bpic2015_3_f2;prefix_index_svm;0.0
bpic2015_3_f2;prefix_index_xgboost;0.2772277227722772
bpic2015_3_f2;prefix_laststate_catboost;0.1914893617021277
bpic2015_3_f2;prefix_laststate_logit;0.0
bpic2015_3_f2;prefix_laststate_rf;0.276595744680851
bpic2015_3_f2;prefix_laststate_svm;0.0
bpic2015_3_f2;prefix_laststate_xgboost;0.22680412371134026
bpic2015_3_f2;single_agg_catboost;0.21739130434782608
bpic2015_3_f2;single_agg_logit;0.0
bpic2015_3_f2;single_agg_rf;0.276595744680851
bpic2015_3_f2;single_agg_svm;0.0
bpic2015_3_f2;single_agg_xgboost;0.28
bpic2015_3_f2;single_laststate_catboost;0.2745098039215686
bpic2015_3_f2;single_laststate_logit;0.0
bpic2015_3_f2;single_laststate_rf;0.2637362637362637
bpic2015_3_f2;single_laststate_svm;0.0
bpic2015_3_f2;single_laststate_xgboost;0.2666666666666666
bpic2015_3_f2;state_agg_catboost;0.18947368421052632
